Venue,Category,Latitude,Longitude,Neighborhood,ZIP
Duff's,Night Club,40.708761,-73.957888,South Side,11211
Jackbar,Arcade,40.711746,-73.957174,South Side,11211
Baby's All Right,Music Venue,40.710067,-73.963481,South Side,11211
Williamsburg Cinemas,Movie Theater,40.714099,-73.959927,South Side,11211
WMC Jazz,Jazz and Blues Venue,40.711372,-73.963095,South Side,11211
Masquerade,Night Club,40.7078,-73.955719,South Side,11211
The City Reliquary,Museum,40.713943,-73.955688,South Side,11211
Williamsburg Music Center,Jazz and Blues Venue,40.711263,-73.963125,South Side,11211
Ironbound Radio,Arts and Entertainment,40.71117,-73.958549,South Side,11211
Paint Nite,Arts and Entertainment,40.711422,-73.959213,South Side,11211
The Annex,Public Art,40.711078,-73.959985,South Side,11211
J.J. Abrams' Lens Flare Factory,Arts and Entertainment,40.711614,-73.956078,South Side,11211
Williamsburg Art & Historical Center,Museum,40.710553,-73.963456,South Side,11211
The Experiment Comedy Gallery,Comedy Club,40.713013,-73.958183,North Williamsburg - North Side,11211
303Grand,Art Gallery,40.712989,-73.957091,North Williamsburg - North Side,11211
NFT Wall,Public Art,40.713589,-73.958194,North Williamsburg - North Side,11211
The Rage Cage,Arts and Entertainment,40.71385,-73.959176,North Williamsburg - North Side,11211
Roebling Photo Studio,Arts and Entertainment,40.713997,-73.957698,North Williamsburg - North Side,11211
Brooklyn Social Scene,Performing Arts Venue,40.709089,-73.961741,South Side,11211
NYCHD Headquarters,Music Venue,40.712305,-73.962477,South Side,11211
Rawson Projects,Art Gallery,40.712307,-73.962389,South Side,11211
Carrie Able Gallery,Art Gallery,40.71109,-73.953483,South Side,11211
Rafael Melendez Studio,Art Gallery,40.7137,-73.960741,South Side,11216
Sideshow Gallery,Art Gallery,40.7128,-73.962103,South Side,11211
Propstar,Theater,40.707469,-73.955788,South Side,11211
The Brooklyn Cellar,Arts and Entertainment,40.711374,-73.963008,South Side,11211
The FADER FORT Presented By Converse,Performing Arts Venue,40.711906,-73.953209,South Side,11211
Red Paper Heart,Arcade,40.714303,-73.960372,South Side,11211
Techno Village,Night Club,40.713679,-73.961526,South Side,11211
Paint Nite,Arts and Entertainment,40.713773,-73.962053,South Side,11249
Black Ball Projects,Art Gallery,40.711679,-73.963718,South Side,11249
Big Irv's,Art Gallery,40.710259,-73.952317,South Side,11211
Spiritual Healing,Psychics and Astrologers,40.710538,-73.958001,South Side,11211
One Shot Away,Night Club,40.711744,-73.957262,South Side,11211
Brooklyn Brewskee-Ball,Arcade,40.713147,-73.957228,North Williamsburg - North Side,11211
Sanguine Theatre Company,Arts and Entertainment,40.709618,-73.962111,South Side,11211
Asl Slam,Arts and Entertainment,40.712975,-73.96163,South Side,11211
Serie Sous Performance Series,Museum,40.713888,-73.95573,South Side,11211
Sideshow,Art Gallery,40.7128,-73.962103,South Side,11211
Scenic Presents,Concert Hall,40.71217,-73.953438,South Side,11211
Miriam Gallery,Art Gallery,40.712963,-73.962066,South Side,11211
Cirque This,Circus,40.713117,-73.962377,South Side,11249
"It's Not You, It's Me Holistic Wellness",Psychics and Astrologers,40.714191,-73.954476,Greenpoint,11211
The Harem,Art Museum,40.616434,-73.970054,Ocean Parkway,11230
Poster Printers,Art Gallery,40.613753,-73.973608,Ocean Parkway,11230
Starbaby Enterprises,Ticket Seller,40.610181,-73.96624,Ocean Parkway,11230
Red Velvet Lounge NY,Night Club,40.612257,-73.963141,Manhattan Terrace,11230
Pottery And Glass Land,Art Gallery,40.615421,-73.963656,Ocean Parkway,11230
Psychic Readings,Psychics and Astrologers,40.613738,-73.97413,Bensonhurst,11230
Brooklynone Productions,Music Venue,40.612869,-74.031715,Fort Hamilton,11209
Roxbury Lounge,Arts and Entertainment,40.618828,-74.032433,Bayridge,11209
St Patrick's Auditorium,Movie Theater,40.614588,-74.031871,Fort Hamilton,11209
Narrows Community Theater,Music Venue,40.615375,-74.034603,Fort Hamilton,11209
Andrea Lucille Designs,Art Gallery,40.615482,-74.034608,Fort Hamilton,11209
Ellie Crystal,Psychics and Astrologers,40.612161,-74.033952,Fort Hamilton,11209
Clandestino,Night Club,40.71467,-73.990763,Chinatown,10002
169 Bar,Night Club,40.713955,-73.989791,Chinatown,10002
Old Man Hustle,Comedy Club,40.716217,-73.989642,Chinatown,10002
Canary Club,Jazz and Blues Venue,40.718667,-73.992535,Chinatown,10002
Klaus Von Nichtssgend Gallery,Art Gallery,40.71658,-73.989921,Chinatown,10002
Reena Spaulings Fine Art,Art Gallery,40.713937,-73.989948,Chinatown,10002
Waypoint Cafe,Internet Cafe,40.717225,-73.990034,Chinatown,10002
Rooftop Films,Indie Movie Theater,40.717299,-73.989295,Chinatown,10002
Wildrence Theater,Theater,40.715068,-73.992001,Chinatown,10002
Os NYC,Arcade,40.715802,-73.996743,Chinatown,10013
Alien Gang,Gaming Cafe,40.717011,-73.995918,Chinatown,10013
The Concept,Night Club,40.715912,-73.99666,Chinatown,10013
Stephan Stoyanov Gallery,Art Gallery,40.715561,-73.991714,Chinatown,10002
Mark Miller Gallery,Art Gallery,40.71836,-73.989947,Chinatown,10002
Vacation,Art Gallery,40.71546,-73.991449,Chinatown,10002
601Artspace,Art Gallery,40.717436,-73.992181,Chinatown,10002
Company Gallery/ Capricious Publishing,Art Gallery,40.71717,-73.99204,Chinatown,10002
Gallery 51,Art Gallery,40.71665,-73.991321,Chinatown,10002
Thomas Nickles,Art Gallery,40.716443,-73.991161,Chinatown,10002
Frosch & Co.,Art Gallery,40.713493,-73.996195,Chinatown,10002
Public accesa,Art Gallery,40.713333,-73.991914,Chinatown,10002
Signs and Symbols,Art Gallery,40.718238,-73.992431,Chinatown,10002
Front Room Gallery,Art Gallery,40.715649,-73.990452,Chinatown,10002
Tracy Williams,Art Gallery,40.715817,-73.99024,Chinatown,10002
MINI/Goethe-Institut Curatorial Residencies Ludlow 38,Art Gallery,40.716032,-73.990249,Chinatown,10002
Situations Gallery,Art Gallery,40.713411,-73.991455,Chinatown,10002
Lyles & King,Art Gallery,40.718559,-73.992531,Chinatown,10002
The Storefront Project,Art Gallery,40.717543,-73.990221,Chinatown,10002
Buff Monster's Studio,Art Gallery,40.71925,-73.994915,Chinatown,10013
Freight + Volume,Art Gallery,40.718927,-73.990886,Chinatown,10002
Sohotel Gallery,Art Gallery,40.719573,-73.994928,Chinatown,10003
Massey Klein Gallery,Art Gallery,40.719435,-73.992041,Chinatown,10002
Shelter,Art Gallery,40.713954,-73.989338,Downtown,10002
Catinca Tabacaru Gallery,Art Gallery,40.718146,-73.989852,Chinatown,10002
Lyle O Reitzel Gallery,Art Gallery,40.719287,-73.991555,Chinatown,10002
Inga,Night Club,40.719781,-73.993233,Chinatown,10002
New Art Dealers Alliance,Arts and Entertainment,40.716498,-73.994937,Chinatown,10002
Mission Escape Games,Arts and Entertainment,40.716553,-73.994896,Chinatown,10002
Gail Goldsmith,Exhibit,40.717463,-73.993186,Chinatown,10002
Cocktails N' Canvas Painting,Arts and Entertainment,40.713577,-73.993295,Chinatown,10002
Boo-Hooray,Museum,40.717582,-73.992754,Chinatown,10002
Orchard,Art Gallery,40.716325,-73.991395,Chinatown,10002
3A Gallery,Art Gallery,40.716868,-73.997222,Chinatown,10013
317 Gallery,Art Gallery,40.717036,-73.99103,Chinatown,10002
Laughing Buddha Comedy,Comedy Club,40.717088,-73.991076,Chinatown,10002
Asian Escorts New York,Strip Club,40.715496,-73.990141,Chinatown,10002
New York Escorts Service,Strip Club,40.712737,-73.996404,Chinatown,10002
Cathy s Psychic Gallery,Psychics and Astrologers,40.719034,-73.994906,Chinatown,10013
Chinatown,Arts and Entertainment,40.713758,-73.998539,Chinatown,10038
Ed Sullivan Theater,Music Venue,40.713884,-73.989903,Chinatown,10002
Hebrew Tabernacle Social Hall,Performing Arts Venue,40.853572,-73.937793,Hudson Heights,10033
Tattoo,Art Gallery,40.852194,-73.932751,Fort George,10033
Wiggles Giggles Playhouse,Art Gallery,40.851801,-73.941446,Hudson Heights,10033
Abreu Art Gallery,Art Gallery,40.854664,-73.933283,Fort George,10040
Schottenstein Theatre,Theater,40.851039,-73.931481,Highbridge,10033
Hudson Heights Duo - Harp and Flute,Arts and Entertainment,40.850381,-73.935921,Fort George,10033
Heights Psychic & Tarot Reader Espiritual Consultora,Psychics and Astrologers,40.84967,-73.936529,Fort George,10033
Capriccio Ensemble,Music Venue,40.854232,-73.937381,Hudson Heights,10033
5+5 Gallery,Art Gallery,40.855444,-73.936464,Hudson Heights,10040
Dell Arte Opera Ensemble,Opera House,40.855522,-73.937605,Hudson Heights,10040
Manhattan Psychic,Psychics and Astrologers,40.848735,-73.932794,Highbridge,10033
MOSA Free Concert Series,Arts and Entertainment,40.85593,-73.934469,Fort George,10040
Dyckman Farmhouse Museum,History Museum,40.867363,-73.922996,Fort George,10034
Nitro Lounge,Night Club,40.866307,-73.920022,Inwood,10034
Post Billiards Cafe,Pool Hall,40.8652,-73.918973,Inwood,10034
Melodia,Night Club,40.865092,-73.918969,Inwood,10034
Tantra Nightclub & Lounge,Night Club,40.868868,-73.917142,Inwood,10034
Pied Piper,Performing Arts Venue,40.86647,-73.926453,Fort George,10034
The Theater Space At Holy Trinity Church,Theater,40.866457,-73.926595,Fort George,10034
Rocco B Commisso Soccer Stadium,Stadium,40.868234,-73.91865,Inwood,10034
Korean Art Forum,Art Gallery,40.867781,-73.921479,Inwood,10034
Alliance Artist Management,Arts and Entertainment,40.868873,-73.916967,Inwood,10034
Euros El Tina Restaurant Loung E & Billiards,Pool Hall,40.864327,-73.919291,Inwood,10034
Washington Heights Billiard,Pool Hall,40.864327,-73.919291,Inwood,10034
Pied Piper Childrens Theater,Music Venue,40.866301,-73.926371,Fort George,10034
24 Hour Party Girl Escorts,Strip Club,40.871131,-73.917402,Inwood,10034
Papa Juan Cigar Room,Arts and Entertainment,40.823699,-73.952138,Hamilton Grange,10031
Hamilton Landmark Galleries,Art Gallery,40.82442,-73.947398,Hamilton Grange,10031
Hamilton Hall,Music Venue,40.824946,-73.951968,Hamilton Grange,10031
Centro Civico Cultural Dominicano,Art Gallery,40.827065,-73.95148,Hamilton Heights,10031
The Champagne Room,Arts and Entertainment,40.822588,-73.945184,Hamilton Grange,10030
Certified Make-Up Artist,Arts and Entertainment,40.823154,-73.948268,Hamilton Grange,10031
La Cantina Ecua-Mex Bar & Billiard,Pool Hall,40.823536,-73.952176,Hamilton Heights,10031
Live Theatre Gang,Arts and Entertainment,40.821908,-73.948439,Hamilton Grange,10031
El Vasilon Nightclub,Night Club,40.826071,-73.950261,Hamilton Heights,10031
HSA Theater,Theater,40.822028,-73.94595,Hamilton Grange,10030
Drew McClain,Psychics and Astrologers,40.822423,-73.945309,Hamilton Grange,10030
Eli Kince Art Gallery,Art Gallery,40.82519,-73.944846,Hamilton Heights,10031
Gotham Center For Ny City History,Arts and Entertainment,40.819538,-73.950228,Hamilton Heights,10031
Honeycomb Playhouse,Movie Theater,40.825151,-73.944276,Hamilton Heights,10031
Aaron Davis Hall,Music Venue,40.817774,-73.95156,Hamilton Heights,10031
Gavin Brown's Enterprise,Art Gallery,40.813636,-73.954856,Harlem,10027
CUarts,Arts and Entertainment,40.816483,-73.959471,Harlem,10027
From Harlem With Love: A Mural for Yuri and Malcolm,Public Art,40.815254,-73.956974,Harlem,10027
Life After Dark Studio,Music Venue,40.814373,-73.959608,Harlem,10027
The Mink Building,Music Venue,40.814109,-73.955355,Harlem,10027
Ki Smith Gallery,Art Gallery,40.818006,-73.961061,Harlem,10027
The Morningside Players,Theater,40.813251,-73.959171,Harlem,10027
Leather Lounge,Night Club,40.813552,-73.953978,Harlem,10027
American Art Gallery,Art Gallery,40.813216,-73.960482,Manhattanville,10027
Studio Museum 127,Museum,40.813432,-73.954411,Harlem,10027
Rio Gallery,Art Gallery,40.821137,-73.95707,Hamilton Heights,10031
Wallach Art Gallery,Art Gallery,40.816883,-73.958655,Hamilton Heights,10027
Depesha,Arts and Entertainment,40.815721,-73.959704,Harlem,10027
Young Atlas,Arts and Entertainment,40.814166,-73.955226,Harlem,10027
Art Set Social 2,Art Gallery,40.813489,-73.960361,Manhattanville,10027
Bill's Place,Concert Hall,40.813345,-73.943517,Central Harlem,10030
Harlem Nights,Concert Hall,40.817278,-73.941831,Hamilton Heights,10030
Shrine World Music Venue,Music Venue,40.814357,-73.944037,Central Harlem,10030
Shrine,Music Venue,40.814357,-73.944037,Central Harlem,10030
La Maison d'Art - Art Gallery,Public Art,40.814388,-73.946925,Central Harlem,10027
Big L Memorial Mural,Public Art,40.818364,-73.939555,Hamilton Heights,10030
Harlem Arcade,Arts and Entertainment,40.816261,-73.941486,Hamilton Heights,10030
Harlem Arts Alliance,Art Gallery,40.815908,-73.944578,Harlem,10030
Kente Royal Gallery,Art Gallery,40.817484,-73.941649,Hamilton Heights,10030
Gadson Gallery,Art Gallery,40.815139,-73.945073,Central Harlem,10030
Harlem Collage Shop - Michael Anderson,Art Gallery,40.817448,-73.945555,Hamilton Heights,10030
City College Art Gallery,Art Gallery,40.814296,-73.94023,Central Harlem,10031
Faction Art Projects,Art Gallery,40.818668,-73.944378,Hamilton Heights,10030
Strivers Gardens Condominiums,Art Gallery,40.816365,-73.947365,Hamilton Heights,10030
Tatiana Pages,Art Gallery,40.81892,-73.945043,Hamilton Heights,10030
Art 2,Art Gallery,40.81495,-73.943572,Central Harlem,10030
New Heritage Theatre Group,Music Venue,40.816218,-73.945115,Hamilton Heights,10030
Zen Archer,Psychics and Astrologers,40.817201,-73.944715,Hamilton Heights,10030
Young Hustl3r Music,Arts and Entertainment,40.815706,-73.940021,Harlem,10037
449 La,Night Club,40.812512,-73.942348,Central Harlem,10037
Leslie M Ahmed,Psychics and Astrologers,40.818502,-73.946558,Hamilton Heights,10030
Cam Date Live,Night Club,40.812999,-73.940268,Central Harlem,10037
Lewis H. Latimer House Museum,Museum,40.814561,-73.938403,Central Harlem,10037
Project Performing Arts,Music Venue,40.812575,-73.939989,Central Harlem,10037
Poet's Den Gallery and Theater,Music Venue,40.791664,-73.940632,Spanish Harlem,10029
Graffiti Hall Of Fame,Public Art,40.793141,-73.94799,Spanish Harlem,10029
Art for Change,Art Gallery,40.792495,-73.94591,Spanish Harlem,10029
New York Chess Academy,Arcade,40.790863,-73.946372,Spanish Harlem,10029
The Dry Amendment,Night Club,40.793541,-73.941098,Spanish Harlem,10029
Poets Den Gallery,Arts and Entertainment,40.791488,-73.940653,Spanish Harlem,10029
Stephens Singing Studio,Music Venue,40.79522,-73.944965,Spanish Harlem,10029
Yorkville Baseball Academy,Stadium,40.789921,-73.939211,Spanish Harlem,10029
Melissa Nieves-Spiritual Solutions,Psychics and Astrologers,40.792615,-73.945478,Spanish Harlem,10029
Julia de Burgos Art Center,Art Gallery,40.791878,-73.946804,Spanish Harlem,10029
Puerto Rican Traveling Theater Co.,Theater,40.79193,-73.94685,Spanish Harlem,10029
Sacrebleu,Art Gallery,40.793647,-73.941189,Spanish Harlem,10029
Demon Leg,Art Gallery,40.790253,-73.947004,Spanish Harlem,10029
Harlem Arts Festival,Carnival,40.795247,-73.945183,Spanish Harlem,10029
Dusk Til Dawn Entertainment,Strip Club,40.793188,-73.940166,Spanish Harlem,10029
Bow Belle Vocal Studio,Music Venue,40.793139,-73.939927,Spanish Harlem,10029
Cinemark Theaters﻿ Add to Favorites,Movie Theater,40.791358,-73.94868,Spanish Harlem,10029
Art345 Gallery,Art Gallery,40.788727,-73.941482,Spanish Harlem,10029
Central Park - Group of Bears,Public Art,40.777328,-73.964033,Carnegie Hill,
Metropolitan Museum of Art,Museum,40.779348,-73.963193,Carnegie Hill,10028
Ukrainian Institute of America,Museum,40.776799,-73.963663,Carnegie Hill,10075
Institute for the Study of the Ancient World,History Museum,40.779912,-73.960287,Carnegie Hill,10028
Waterfall Mansion,Art Gallery,40.77518,-73.957613,Upper East Side,10075
American Irish Historical Society,History Museum,40.77779,-73.962915,Carnegie Hill,10028
Yoshii Gallery,Art Gallery,40.774807,-73.963455,Upper East Side,10075
Skarstedt Gallery,Art Gallery,40.77634,-73.96264,Upper East Side,10075
Frick Madison,Art Museum,40.773355,-73.963813,Lenox Hill,10021
American Primitive Gallery,Art Gallery,40.7756,-73.962087,Upper East Side,10075
Van de Weghe Fine Art,Art Gallery,40.775909,-73.962623,Upper East Side,10075
Kraus Hans P Jr Fine Photographs,Art Gallery,40.777944,-73.959206,Upper East Side,10028
Benrubi Gallery,Art Gallery,40.773796,-73.962935,Upper East Side,10021
Kips Bay Decorator Show House,Exhibit,40.773085,-73.961247,Lenox Hill,10021
Sabastian Izzard Asian Art,Art Gallery,40.774726,-73.96404,Upper East Side,10021
Hiroshi Yanagi Oriental Art,Art Gallery,40.774775,-73.96398,Upper East Side,10021
Edward Ressle,Art Gallery,40.773417,-73.962964,Lenox Hill,10021
Galerie Buchholz Ny,Art Gallery,40.778645,-73.961243,Carnegie Hill,10028
Waterhouse & Dodd,Art Gallery,40.774201,-73.963912,Upper East Side,10021
Tilton Gallery,Art Gallery,40.774614,-73.964627,Upper East Side,10021
The Lore Heinemann Galery,Exhibit,40.778596,-73.963077,Carnegie Hill,10028
Temple Of Perneb,History Museum,40.77878,-73.962254,Carnegie Hill,10028
The Benjamin Altman Collection,Exhibit,40.779202,-73.96262,Carnegie Hill,10028
Pablo Picasso,Exhibit,40.778402,-73.964249,Carnegie Hill,10028
Lila Acheson Wallace Wing,Exhibit,40.778664,-73.964565,Carnegie Hill,10028
Fabergé from the Matilda Geddings Gray Foundation Collection,Exhibit,40.778944,-73.964183,Carnegie Hill,10028
Jerusalem 1000 - 1400: Every People Under Heaven,Exhibit,40.779396,-73.963414,Carnegie Hill,10028
Donald and Vera Blinken Galleries,Exhibit,40.779279,-73.963759,Carnegie Hill,10028
The Wrightsman galleries,Arts and Entertainment,40.779387,-73.963763,Carnegie Hill,10028
William Lipton Gallery,Art Gallery,40.776394,-73.960632,Upper East Side,10075
Greene County Council On The Arts New York,Arts and Entertainment,40.774244,-73.961071,Upper East Side,10075
Mitchell-Innes & Nash,Art Gallery,40.776074,-73.962499,Upper East Side,10075
Alaska On Madison Gallery of Eskimo and Northwest Coast Art,Art Gallery,40.77733,-73.961151,Upper East Side,10028
Spanierman Gallery New York,Art Gallery,40.776341,-73.96279,Upper East Side,10075
Oscar Wilde Tours,Arts and Entertainment,40.77663,-73.957888,Upper East Side,10028
980 Madison,Art Gallery,40.774862,-73.963413,Upper East Side,10075
Dean Borghi Fine Arts,Art Gallery,40.773852,-73.962741,Upper East Side,10021
Richard L Feigen & Co.,Art Gallery,40.775014,-73.963812,Upper East Side,10075
Ensemble For The Romantic Century,Music Venue,40.778322,-73.961098,Carnegie Hill,10028
Museum House,Museum,40.778374,-73.961276,Carnegie Hill,10028
Park & 75,Arts and Entertainment,40.773039,-73.962039,Lenox Hill,10021
Kang Byung,Art Gallery,40.778695,-73.961376,Carnegie Hill,10028
Kang Collections & Gallery,Art Gallery,40.778748,-73.961422,Carnegie Hill,10028
Ethyl's Alcohol & Food,Night Club,40.776985,-73.952657,Upper East Side,10028
Bailey's Corner Pub,Night Club,40.775276,-73.947959,Upper East Side,10028
Gallery of Graphic Arts,Art Gallery,40.775,-73.948167,Upper East Side,10028
A & N Art Gallery,Art Gallery,40.777173,-73.949693,Upper East Side,10028
New York Art Gallery,Art Gallery,40.775872,-73.949905,Upper East Side,10028
Morning Calm Gallery,Art Gallery,40.774499,-73.95077,Upper East Side,10028
Monalisa Art Gallery,Art Gallery,40.780058,-73.946744,Carnegie Hills,10128
1615 Art Gallery,Art Gallery,40.776545,-73.95299,Upper East Side,10028
Speakeasy Dollhouse,Music Venue,40.776341,-73.946471,Uptown,10128
American Friends of the Shanghai Museum,Museum,40.775222,-73.945947,Upper East Side,10028
Gymboree Play & Music,Amusement Park,40.775654,-73.949984,Upper East Side,10028
Earthworksnyc,Art Gallery,40.778554,-73.948451,Carnegie Hills,10128
Jonathan Saraga,Arts and Entertainment,40.773669,-73.949514,Upper East Side,10028
Erica Palgon Casting & Beyond,Arts and Entertainment,40.779071,-73.947318,Carnegie Hills,10128
Svetionik Art Design,Art Gallery,40.779179,-73.947322,Carnegie Hills,10128
Lisa Escort Service,Strip Club,40.777349,-73.951185,Upper East Side,10028
Madame Bonte Cafe,Internet Cafe,40.776066,-73.951885,Upper East Side,10028
Readings by Maria,Psychics and Astrologers,40.772742,-73.949872,Upper East Side,10028
Joe's Pub,Night Club,40.772133,-73.946397,Roosevelt Island,10028
Spacious @ Bohemian Spirit,Internet Cafe,40.769114,-73.956374,Lenox Hill,10021
Bohemian National Hall,Art Gallery,40.769057,-73.956503,Lenox Hill,10021
Theresa Lang Theatre,Music Venue,40.768856,-73.959991,Lenox Hill,10021
1405 Art Gallery,Art Gallery,40.769719,-73.95797,Lenox Hill,10021
Little Maestros,Concert Hall,40.766145,-73.958444,Lenox Hill,10021
Hani,Public Art,40.766997,-73.95686,Lenox Hill,10021
SoHouse,Arts and Entertainment,40.77069,-73.958008,Lenox Hill,10021
The Vilcek Foundation,Art Gallery,40.770936,-73.960901,Lenox Hill,10021
Gallery 71,Art Gallery,40.769694,-73.962951,Lenox Hill,10021
Eastside Art Gallery,Art Gallery,40.76452,-73.958644,Lenox Hill,10065
The Bertha and Karl Leubsdorf,Art Gallery,40.767722,-73.96401,Lenox Hill,10021
Art & Framing Gallery,Museum,40.772171,-73.959114,Lenox Hill,10021
Orasy,Arts and Entertainment,40.772402,-73.960565,Lenox Hill,10021
Dicapo Opera Theater,Music Venue,40.772485,-73.959476,Lenox Hill,10021
Armand Bartos Fine Art,Art Gallery,40.768217,-73.95765,Lenox Hill,10021
Kagan Fine Art,Art Gallery,40.767236,-73.960016,Lenox Hill,10021
Stephen Haller Gallery,Art Gallery,40.769186,-73.959741,Lenox Hill,10021
Davis Langdale Gallery New York,Art Gallery,40.76952,-73.958839,Lenox Hill,10021
New York International Mandolin Festival,Concert Hall,40.767086,-73.957563,Lenox Hill,10021
Communication Awareness,Psychics and Astrologers,40.769497,-73.958224,Lenox Hill,10021
Marc Rosen Fine Arts,Arts and Entertainment,40.769751,-73.958802,Lenox Hill,10021
Aspire Artists Agency,Arts and Entertainment,40.769436,-73.960494,Lenox Hill,10021
Manhattan Arts International,Art Gallery,40.769436,-73.960494,Lenox Hill,10021
Blumka Gallery,Art Gallery,40.769718,-73.960024,Lenox Hill,10021
Matin Fine Arts,Art Gallery,40.768197,-73.956382,Lenox Hill,10021
Improving With Improv,Comedy Club,40.76627,-73.959803,Lenox Hill,10065
Rogallery Dot Com,Art Gallery,40.769778,-73.957331,Lenox Hill,10021
Sweet Asian Escort,Strip Club,40.767517,-73.961599,Lenox Hill,10021
Julia Richman Theater,Music Venue,40.765405,-73.959857,Lenox Hill,10065
Chicago City Limits,Comedy Club,40.769571,-73.95543,Lenox Hill,10021
Newport Folk Festival,Carnival,40.767961,-73.963146,Lenox Hill,10021
O Kelley Anderson,Art Gallery,40.770915,-73.961687,Lenox Hill,10021
Friends of the Upper East Side Historic Districts,Museum,40.769361,-73.963287,Lenox Hill,10021
Wicked Pub Crawl,Night Club,40.771168,-73.956279,Lenox Hill,10021
Psychic Readings by Grace,Psychics and Astrologers,40.771168,-73.956279,Lenox Hill,10021
Supportive Artists International,Museum,40.7718,-73.958881,Lenox Hill,10021
Beekman,Arts and Entertainment,40.764781,-73.961013,Lenox Hill,10065
Paper Bag Players,Music Venue,40.767722,-73.96401,Lenox Hill,10065
Big Apple Art Gallery,Art Gallery,40.771496,-73.956116,Lenox Hill,10075
Wooster Projects,Art Gallery,40.764297,-73.960951,Lenox Hill,10065
Foundation For Italian Art,Museum,40.770102,-73.96384,Lenox Hill,10021
St Jeans Community Center,Music Venue,40.772485,-73.959476,Lenox Hill,10021
Roosevelt Island Visual Art Association,Art Gallery,40.761391,-73.950572,Roosevelt Island,10044
Gallery Rivaa,Art Gallery,40.761271,-73.951004,Roosevelt Island,10044
Roosevelt Island Youth Center,Arts and Entertainment,40.760849,-73.950638,Roosevelt Island,10044
Paul Calendrillo Art Gallery,Art Gallery,40.761053,-73.951083,Roosevelt Island,10044
Life,Public Art,40.763485,-73.95379,Lenox Hill,10065
The Classical Musicians' Rehearsal Symphony Orchestra,Music Venue,40.761554,-73.950534,Roosevelt Island,10044
Roosevelt Island,Art Gallery,40.761129,-73.950256,Roosevelt Island,10044
Center For Contemporary Opera,Opera House,40.765303,-73.947533,Roosevelt Island,10044
AMC 84th Street 6,Movie Theater,40.785985,-73.977351,Upper West Side,10024
Children's Museum of Manhattan,Art Museum,40.785932,-73.977305,Upper West Side,10024
West End Theatre,Music Venue,40.788798,-73.977111,Upper West Side,10024
New York Theater Ensemble,Theater,40.788904,-73.977202,Upper West Side,10024
Pushkin Hall,Theater,40.787737,-73.974403,Upper West Side,10024
West Park Art Gallery,Art Gallery,40.787678,-73.974619,Upper West Side,10024
West Park Center,Music Venue,40.78768,-73.974532,Upper West Side,10024
LinkNYC,Internet Cafe,40.785647,-73.977862,Upper West Side,10024
4L,Arts and Entertainment,40.788449,-73.974037,Upper West Side,10024
Studio 54,Night Club,40.784734,-73.977695,Upper West Side,10024
Paint Nite,Arts and Entertainment,40.784482,-73.97703,Upper West Side,10024
Judy Henderson Castings,Movie Theater,40.791262,-73.977849,Upper West Side,10024
Piano,Music Venue,40.786437,-73.97256,Upper West Side,10024
Spacious @ The Milling Room,Internet Cafe,40.783632,-73.974505,Upper West Side,10024
AMC Theaters,Movie Theater,40.78681,-73.97744,Upper West Side,10024
2120 An Art Experience At Portion Gallery New York,Museum,40.786829,-73.978083,Upper West Side,10024
Chris Hughes,Museum,40.7875,-73.979202,Upper West Side,10024
West Park NYC Open Mic,Music Venue,40.78775,-73.97473,Upper West Side,10024
Hudson Warehouse,Music Venue,40.785879,-73.977259,Upper West Side,10024
The Russian Arts Theater and Studio,Movie Theater,40.787678,-73.974619,Upper West Side,10024
Bruce Frank Primitive Art,Art Gallery,40.785613,-73.977117,Upper West Side,10024
Manhattan Psychic,Psychics and Astrologers,40.790018,-73.977901,Upper West Side,10024
Theatre Development Fund,Music Venue,40.787756,-73.973704,Upper West Side,10024
W83,Music Venue,40.785219,-73.975703,Upper West Side,10024
Saddoboxing,Stadium,40.789765,-73.97929,Upper West Side,10024
Penrose Galleries Judaica,Art Gallery,40.787917,-73.980887,Upper West Side,10024
Psychic Readings NYC,Psychics and Astrologers,40.784285,-73.976323,Upper West Side,10024
Walker Art Center,Art Gallery,40.784588,-73.979088,Upper West Side,10024
NYC Princess Parties,Music Venue,40.785936,-73.981151,Upper West Side,10024
Calhoun Summer Jazz Workshop,Arts and Entertainment,40.785409,-73.980694,Upper West Side,10024
Ground Swell Theatricals,Music Venue,40.790057,-73.97323,Upper West Side,10024
ProhibitionNYC,Music Venue,40.7853,-73.972887,Upper West Side,10024
Gallery 52 NYC,Art Gallery,40.78613,-73.971936,Upper West Side,10024
Broadway Play Publishing,Arts and Entertainment,40.783279,-73.976955,Lincoln Square,10024
New York Escort Guide,Strip Club,40.790169,-73.972312,Upper West Side,10024
Vivian Beaumont Theater,Music Venue,40.773603,-73.984122,Lincoln Square,10023
Metropolitan Opera,Concert Hall,40.772736,-73.984262,Lincoln Square,10023
American Ballet Theatre,Performing Arts Venue,40.772779,-73.984657,Lincoln Square,10023
Claire Tow Theater,Music Venue,40.773654,-73.984255,Lincoln Square,10023
Walter Reade Theater,Indie Movie Theater,40.772778,-73.982691,Lincoln Square,10023
Lincoln Center Out of Doors,Performing Arts Venue,40.772228,-73.985312,Lincoln Square,10023
Lincoln Center for the Performing Arts,Performing Arts Venue,40.77244,-73.983409,Lincoln Square,10023
New York Philharmonic,Concert Hall,40.772661,-73.983036,Lincoln Square,10023
