,Venue,Category,Latitude_x,Longitude_x,Neighborhood,ZIP,Borough,Longitude_y,Latitude_y
770,Institute of Applied Human Dynamics,Healthcare Clinic,40.839396,-73.864615,Parkchester,10460,Bronx,-73.85600310535783,40.837937822267286
771,Rebekah Rehab & Extended Care Center,Nursing Home,40.830466,-73.846527,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
772,United Odd Fellow & Rebekah Home,Nurse,40.830678,-73.846709,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
773,Dental Oral Surgery,Dentist,40.833035,-73.851607,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
774,Perfect Vision,Optometrist,40.833802,-73.851198,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
775,Bronx Medical Care Assoc PC,Dentist,40.832337,-73.851451,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
776,Rebekah Nursing Home,Nursing Home,40.830411,-73.846568,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
777,Ponce De Leon Fed Savings & Loan Associates,Medical Lab,40.833979,-73.850635,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
778,Dada Homecare,Home Health Care Service,40.833933,-73.852384,Parkchester,10462,Bronx,-73.85600310535783,40.837937822267286
779,Dr Louis Rose,Doctor's Office,40.839457,-73.837139,Schuylerville,10461,Bronx,-73.82620275994073,40.82657951686922
780,Chiropractic Office of Throggs Neck,Chiropractor,40.827617,-73.82289,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
781,Dr Boiano's Bronx Family Dentistry,Dentist,40.828306,-73.823395,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
782,"Albert Graziosa MD, PC Orthopedic Surgeon & Sports Medicine",Doctor's Office,40.828986,-73.824251,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
783,Bronx Physical Therapy,Physical Therapy Clinic,40.828773,-73.824156,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
784,Throggs Neck Optical,Ophthalmologist,40.82634,-73.822144,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
785,Multi Specialty Pain Management,Physician,40.826726,-73.821852,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
786,CityMD Throgs Neck - Bronx,Health and Medicine,40.825447,-73.821194,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
787,Giovanni Boiano DDS Office,Dentist,40.828141,-73.823521,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
788,Giovanni Boiano,Dentist,40.828141,-73.823521,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
789,Boiano Dental,Dentist,40.828352,-73.823703,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
790,"Blum, Edward, PT",Physical Therapy Clinic,40.828773,-73.824156,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
791,Hands On Physical Therapy,Physical Therapy Clinic,40.827619,-73.822802,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
792,Cohen & Garcha Podiatry,Podiatrist,40.827886,-73.822943,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
793,Guerrero William E Odpc,Optometrist,40.826391,-73.822277,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
794,Bhrags Homecare,Home Health Care Service,40.829301,-73.824612,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
795,Robert Vavolizza,Dentist,40.829382,-73.824665,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
796,"William E Guerrero, OD - William E Guerrero PC",Optometrist,40.826393,-73.82219,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
797,Haftel Brian - New York Surgical Anesthesia Suites,Healthcare Clinic,40.826776,-73.821985,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
798,Midtown Physical Medicine,Physical Therapy Clinic,40.826723,-73.821939,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
799,Heel To Toe Foot Center,Orthopedic Surgeon,40.830091,-73.825384,Schuylerville,10465,Bronx,-73.82620275994073,40.82657951686922
800,Cautious Care Medical,Medical Center,40.846194,-73.862807,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
801,Bne Clinton Medical,Healthcare Clinic,40.846139,-73.862849,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
802,Miriam Dental,Dentist,40.844275,-73.865975,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
803,Morris Park Family Dental,Dentist,40.844864,-73.86693,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
804,Mbb Services,Physician,40.841347,-73.864336,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
805,Active Motion Physical Therapy P.C,Physical Therapy Clinic,40.846194,-73.862807,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
806,Theradynamics Physical Rehab,Health and Medicine,40.849041,-73.855078,Van Nest,10461,Bronx,-73.8662991807561,40.84360847124718
807,Family Practice Medical,Doctor's Office,40.853745,-73.863259,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
808,Dr Oropall's Office,Doctor's Office,40.854298,-73.862754,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
809,Bronx Foot Care,Doctor's Office,40.854298,-73.862754,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
810,Bronx Park Urgent Medical Care,Physician,40.850551,-73.865593,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
811,Bronx Park Medical Pavilion Surgical Services,Health and Medicine,40.850498,-73.865547,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
812,Bronx Park Pediatrics,Healthcare Clinic,40.850551,-73.865593,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
813,Lydig Dental,Dentist,40.854298,-73.862754,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
814,Podiatrist Bronx NY,Podiatrist,40.854234,-73.863145,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
815,Zive Pharmacy & Surgical Supplies,Health and Medicine,40.854601,-73.863553,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
816,Hudson Valley Radiology Associates,Radiologist,40.850342,-73.865322,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
817,Bronx Park Womens Health,Physician,40.850551,-73.865593,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
818,James Croll MD,General Surgeon,40.850551,-73.865593,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
819,Bronx Park Orthopaedic Group,Orthopedic Surgeon,40.850498,-73.865547,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
820,St Barnabas Hospital,Hospital,40.850498,-73.865547,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
821,Bronx Park Dental Group,Dentist,40.850498,-73.865547,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
822,Bronx Internal Medicine Associates,Internal Medicine Doctor,40.850498,-73.865547,Van Nest,10462,Bronx,-73.8662991807561,40.84360847124718
823,Top Notch Dental Care,Dentist,40.847642,-73.867368,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
824,Pelham Parkway Vision Center,Optometrist,40.854639,-73.866268,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
825,Friendly Smile Dental,Dentist,40.856578,-73.863635,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
826,Montefiore Medical Group,Medical Center,40.853429,-73.867531,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
827,Ola Pediatrics,Pediatrician,40.854565,-73.864952,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
828,Painless Dental Care PC,Dentist,40.854607,-73.865435,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
829,Beacon of Hope House,Psychologist,40.852506,-73.867284,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
830,Services For the Underserved,Mental Health Service,40.854345,-73.867176,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
831,Sna Unified Home Care,Home Health Care Service,40.854345,-73.867176,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
832,Comprehensive Care,Home Health Care Service,40.85429,-73.867218,Bronxdale,10462,Bronx,-73.86172577555115,40.85272297633017
833,Dr Robert Taglia Office,Doctor's Office,40.84486,-73.851731,Westchester Square,10461,Bronx,-73.84219407604444,40.8406194964327
834,"Kevin L. Cintron, Rd",Nutritionist,40.844963,-73.849853,Westchester Square,10461,Bronx,-73.84219407604444,40.8406194964327
835,Unique Dental,Dentist,40.854043,-73.891238,Mount Hope,10457,Bronx,-73.90829930881988,40.84884160724665
836,St Barnabas Dialysis,Medical Lab,40.853545,-73.891701,Mount Hope,10457,Bronx,-73.90829930881988,40.84884160724665
837,St Barnabas Hospital,Hospital,40.854376,-73.890901,Mount Hope,10458,Bronx,-73.90829930881988,40.84884160724665
838,Essen Medical Associ,Physician,40.852004,-73.905125,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
839,Fordham-Tremont Community Mental Health Center,Mental Health Clinic,40.85186,-73.904463,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
840,Union Community Health Centers,Healthcare Clinic,40.85186,-73.904463,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
841,St Barnabas Hospital,Hospital,40.85186,-73.904463,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
842,Citimed Diagnostics,Health and Medicine,40.851081,-73.905309,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
843,"Ankit Shah, FNP-C",Nurse,40.851683,-73.905025,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
844,"Hossain Mohseni, DPM",Podiatrist,40.851683,-73.905025,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
845,New York Dental Health,Dentist,40.851634,-73.904805,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
846,"Onelys Rodriguez, MD",Nurse,40.851666,-73.904808,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
847,"Essen Medical Associates, PC",General Surgeon,40.851637,-73.904717,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
848,Essen,Cardiologist,40.851682,-73.904785,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
849,EssenMED House Calls,Health and Medicine,40.852002,-73.905212,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
850,"Moonju Bae, NP",Nurse,40.851639,-73.90463,Mount Hope,10453,Bronx,-73.90829930881988,40.84884160724665
851,Riverdale Cosmetic Dentists,Dentist,40.885312,-73.914478,Spuyten Duyvil,10463,Bronx,-73.91719048210393,40.88139497727086
852,"Robert Pintauro, MD",Doctor's Office,40.854949,-73.83122,Pelham Gardens,10461,Bronx,-73.84161194831223,40.86296562477998
853,Stephen Henry Huish,Physical Therapy Clinic,40.852136,-73.829237,Pelham Gardens,10461,Bronx,-73.84161194831223,40.86296562477998
854,"Hal D Rosenfeld, DC",Chiropractor,40.852251,-73.828979,Pelham Gardens,10461,Bronx,-73.84161194831223,40.86296562477998
855,Monroe Ortodics & Pro,Health and Medicine,40.852306,-73.828937,Pelham Gardens,10461,Bronx,-73.84161194831223,40.86296562477998
856,Dr. Victor Oelbaum & Associates,Dentist,40.860575,-73.843504,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
857,New York Cancer & Blood Specialists,Health and Medicine,40.860106,-73.84283,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
858,East Haven Nursing and Rehabilitation Center,Nursing Home,40.860196,-73.843534,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
859,Donald C Wallerson Md,Cardiologist,40.859835,-73.842864,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
860,Urgent Care of Eastchester Road,Urgent Care Center,40.859946,-73.842781,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
861,Empire State Ortho,Physician,40.8593,-73.84267,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
862,Nirvana Integrative Medicine,Internal Medicine Doctor,40.859707,-73.843648,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
863,"Weinstein, Joshua Weinstein Joshua Office",Doctor's Office,40.859164,-73.841658,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
864,MMG Pediatrics,Doctor's Office,40.859195,-73.842578,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
865,Performance Rehabilitation,Physical Therapy Clinic,40.859222,-73.841529,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
866,Monarch Medical Aesthetics by Dr Alicia Almendral,Plastic Surgeon,40.860365,-73.841176,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
867,"Bruckner Howard W MD Bruckner Howard ,MD",Internal Medicine Doctor,40.860106,-73.84283,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
868,Eastchester- Center For Cancer Care,Internal Medicine Doctor,40.860106,-73.84283,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
869,Medco Enterprises,Assisted Living Service,40.860196,-73.843534,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
870,"Nana Asamoah, MD",Nurse,40.859724,-73.842694,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
871,Raia Medical Health PC,Healthcare Clinic,40.859576,-73.842461,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
872,Albert Einstein-Jack D Weiler Hospital-Division of Montefiore Medical Center,Hospital,40.859622,-73.842769,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
873,Nyconn Orthopaedic and Rehabilitation Specialists,Physician,40.859622,-73.842769,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
874,D'Arrigo and Bonelli DDS,Dentist,40.859765,-73.843518,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
875,Proactive Physical & Hand Therapy,Physical Therapy Clinic,40.8593,-73.84267,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
876,Astor Avenue Pediatrics,Health and Medicine,40.8593,-73.84267,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
877,Silva Miguel MD,General Surgeon,40.859172,-73.841572,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
878,Albert Einstein Jack D Weiler,Hospital,40.859195,-73.842578,Pelham Gardens,10469,Bronx,-73.84161194831223,40.86296562477998
879,Center for allergy and asthma of bronx and westchester,Doctor's Office,40.828279,-73.824444,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
880,Dermatology & Surgery Associates: Tift Louisa MD,Doctor's Office,40.828231,-73.824224,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
881,Throggs Neck Vision Associates,Optometrist,40.828123,-73.82422,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
882,East tremont Urgent care clinic,Urgent Care Center,40.828748,-73.825117,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
883,Dr Elena Vezza,Doctor's Office,40.82886,-73.824946,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
884,Throgs Neck Pediatrics,Physician,40.828971,-73.824863,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
885,Throgs Neck Animal Hospital,Veterinarian,40.825079,-73.820787,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
886,Anto Vincetic,Neurologist,40.828178,-73.824178,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
887,Park Place Medical,Radiologist,40.828231,-73.824224,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
888,Health East Medical Alliance,Health and Medicine,40.828271,-73.824192,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
889,Center For Orthopedic Surgery,Orthopedic Surgeon,40.828392,-73.824273,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
890,A Counseling & Psychotherapy,Health and Medicine,40.828392,-73.824273,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
891,East Tremont Foot Care Stepanian & Spellman,Podiatrist,40.828808,-73.824901,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
892,"B.H Stepanian, DPM, FACFAS",Podiatrist,40.82881,-73.824813,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
893,Throgsneck Urgentcare,Urgent Care Center,40.828863,-73.824859,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
894,A Counseling & Psychotherapy of Throggs Neck,Psychologist,40.828971,-73.824863,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
895,"Dean S. Spellman, D",Health and Medicine,40.829124,-73.82498,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
896,Golden Apple Health Care,Home Health Care Service,40.821669,-73.819003,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
897,Audiology & Hearing Health,"Ear, Nose and Throat Doctor",40.821026,-73.818805,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
898,Community Chiropractic,Chiropractor,40.817854,-73.816156,Throgs Neck,10465,Bronx,-73.81635002158441,40.81510925804005
899,Mannam Medical Center,Physician,40.819797,-73.847758,Castle Hill,10473,Bronx,-73.84802729582735,40.819014376988314
900,Senior Care EMS,Ambulance Service,40.821698,-73.845203,Castle Hill,10473,Bronx,-73.84802729582735,40.819014376988314
901,Kwak Dental Management,Dentist,40.819528,-73.847705,Castle Hill,10473,Bronx,-73.84802729582735,40.819014376988314
902,Castle Hill Med,General Surgeon,40.819528,-73.847705,Castle Hill,10473,Bronx,-73.84802729582735,40.819014376988314
903,Federation Of Puerto Rican Organization,Assisted Living Service,40.822401,-73.851439,Castle Hill,10473,Bronx,-73.84802729582735,40.819014376988314
904,BPC Outpatient,Medical Center,40.87056,-73.866896,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
905,Bronx Kids Pediatrics,Doctor's Office,40.870276,-73.867454,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
906,Pasqua Chiropractic,Doctor's Office,40.874396,-73.866905,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
907,Institute of Applied Human Dynamics,Health and Medicine,40.871593,-73.862511,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
908,We Care Pharmacy,Health and Medicine,40.871217,-73.864512,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
909,Bronx State Hopital,Hospital,40.870508,-73.86685,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
910,White Plains Road Medical PC,Healthcare Clinic,40.870287,-73.867017,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
911,Pasqua & McGee Chiropractic Office,Chiropractor,40.874399,-73.866818,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
912,Wrap Rain Multi Service,Home Health Care Service,40.874656,-73.867309,Olinville,10467,Bronx,-73.86332361652777,40.87137078192371
913,Laconia Nursing Home,Assisted Living Service,40.887736,-73.848385,Edenwald,10466,Bronx,-73.84808271877168,40.88456130303732
914,Happy and Great Home Care Services,Home Health Care Service,40.887084,-73.848537,Edenwald,10466,Bronx,-73.84808271877168,40.88456130303732
915,"Christopher L. Smith, LCAC, LMHC, LMFT",Mental Health Clinic,40.887122,-73.851254,Edenwald,10466,Bronx,-73.84808271877168,40.88456130303732
916,Verrazano Vision,Optometrist,40.624594,-74.0304,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
917,The Skin Institute of New York,Dermatologist,40.62773,-74.026082,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
918,Acupuncture Studio,Alternative Medicine Clinic,40.625415,-74.029953,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
919,Bridge Family Dental,Dentist,40.626816,-74.029922,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
920,Bay Ridge Chiropractic,Chiropractor,40.626764,-74.029877,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
921,Breakthrough Orthopedics,Physician,40.624377,-74.030478,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
922,Family Dental Care: Robert B. Souferian DDS,Dentist,40.625467,-74.029999,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
923,Alvarado & DeVito Pediatrics,Doctor's Office,40.627577,-74.029691,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
924,Leading Lasik Center,Ophthalmologist,40.623422,-74.029917,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
925,Interboro Surgical Associates,General Surgeon,40.624771,-74.02788,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
926,Jana Health Care,Family Medicine Doctor,40.623135,-74.030559,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
927,"Dr Abraham A Sleem, MD",Doctor's Office,40.623463,-74.032358,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
928,Dr Stuart Feintuch,Dentist,40.623671,-74.032628,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
929,Brooklyn Audiology Associates,"Ear, Nose and Throat Doctor",40.623413,-74.028305,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
930,ProHealth Urgent Care of Bay Ridge,Urgent Care Center,40.623521,-74.028309,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
931,Millennium Physical Therapy,Physical Therapy Clinic,40.623112,-74.031429,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
932,CITYPT/Madison Physical Therapy-Bay Ridge,Physical Therapy Clinic,40.624025,-74.027589,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
933,Cosmopolitan Dentistry,Dentist,40.622801,-74.029021,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
934,Bay Ridge Family Doctors,Physician,40.622812,-74.029203,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
935,First Class Family Dentistry Of New York,Dentist,40.623262,-74.027907,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
936,Globe Drug Store,Health and Medicine,40.622884,-74.027935,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
937,Hands of Gold Chiropractic,Chiropractor,40.622286,-74.03205,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
938,Advanced Implant and Oral Surgery PC,Dentist,40.627567,-74.026119,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
939,Lazzaro Eye Center,Ophthalmologist,40.627622,-74.026077,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
940,Cohen's Fashion Optical,Ophthalmologist,40.622447,-74.028179,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
941,Nachmias Chiropractic,Chiropractor,40.622824,-74.034031,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
942,Citymd Bay Ridge,Urgent Care Center,40.621882,-74.029115,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
943,Dr kokolis,Doctor's Office,40.628328,-74.025888,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
944,Brooklyn Integrative Health Care,Chiropractor,40.627264,-74.025409,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
945,Family Dental Care,Dentist,40.625467,-74.029999,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
946,"Souferian B, DDS PC",Dentist,40.625472,-74.029825,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
947,Drucker Hypnosis Center,Alternative Medicine Clinic,40.626816,-74.029922,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
948,Cardiology Consultants,General Surgeon,40.626833,-74.031274,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
949,Rozakis Nicholas Chirprctr,Chiropractor,40.626816,-74.029922,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
950,Tran Duyet N MD - Devito-Alvarado Pediatric Associates,Healthcare Clinic,40.627577,-74.029691,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
951,Staten Island University Hospital,Hospital,40.627579,-74.029604,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
952,Devito & Alvarado Pediatrics Associates,Pediatrician,40.627744,-74.02948,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
953,Cataract Cornea and Laser Eye Care,Health and Medicine,40.623564,-74.032624,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
954,New York Family Dental Care,Dentist,40.62309,-74.030252,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
955,"Ela Acuesta-Laureta, DDS",Dentist,40.623279,-74.029258,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
956,Ayman A Shahine,Obstetrician Gynecologist (Ob-gyn),40.623042,-74.030032,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
957,"Ayman Shahine, MD - NY Beauty Surgeon",Plastic Surgeon,40.622992,-74.0299,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
958,Women Medical Health Check Up,Health and Medicine,40.622937,-74.029941,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
959,Health & Well Being Physical Therapy PC,Physical Therapy Clinic,40.622853,-74.031027,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
960,"Habib, Henry Dpm",Podiatrist,40.627118,-74.026798,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
961,Cosmopolitan Dental,Dentist,40.622778,-74.029019,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
962,Bay Ridge Oral Surgery,Oral Surgeon,40.622754,-74.028992,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
963,Intercity Psychotherapy,Psychologist,40.622352,-74.030431,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
964,Back To Wellness,Acupuncture Clinic,40.622344,-74.031921,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
965,Bay Ridge Acupuncture,Acupuncture Clinic,40.622286,-74.03205,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
966,"Dr Chanda Kale - Family Dentistry, Implants and Orthodontics",Dentist,40.643938,-74.014658,Bay Ridge,11220,Brooklyn,-74.03062069353813,40.625801065010656
967,Fourth Avenue Dental Group,Dentist,40.644246,-74.015193,Bay Ridge,11220,Brooklyn,-74.03062069353813,40.625801065010656
968,Sinha R P MD,Physician,40.642483,-74.012683,Bay Ridge,11220,Brooklyn,-74.03062069353813,40.625801065010656
969,Kids Dental Care,Dentist,40.642426,-74.012811,Bay Ridge,10118,Brooklyn,-74.03062069353813,40.625801065010656
970,Cohen's Fashion Optical,Ophthalmologist,40.642187,-74.013673,Bay Ridge,11220,Brooklyn,-74.03062069353813,40.625801065010656
971,Dr Kostantinos's,Doctor's Office,40.621136,-74.022943,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
972,New Beginnings Perinatal Center,Obstetrician Gynecologist (Ob-gyn),40.621136,-74.022943,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
973,Shiel Medical Laboratory,Medical Lab,40.621138,-74.022856,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
974,Accu Reference Medical Lab,Medical Lab,40.621136,-74.022943,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
975,Wehbeh Hassan MD,Health and Medicine,40.621081,-74.022984,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
976,The Hand Treatment Center,Physician,40.620914,-74.023195,Bay Ridge,11209,Brooklyn,-74.03062069353813,40.625801065010656
